SUBSTANCE(S) ACTIVE(S),P.COMM,SOCIÉTÉ,FABRICANT,SUBSTANCE_ACTIVE_1,SUBSTANCE_UNIT_1,SUBSTANCE_ACTIVE_2,SUBSTANCE_UNIT_2,SUBSTANCE_ACTIVE_3,SUBSTANCE_UNIT_3,SUBSTANCE_ACTIVE_4,SUBSTANCE_UNIT_4,SOCIÉTÉ_CANONIQUE,FABRICANT_CANONIQUE
ABAMECTINE,AAKOMECTINE,STEC,AAKO BV,ABAMECTINE,ABAMECTINE,N/A,N/A,N/A,N/A,N/A,N/A,STEC,AAKO BV
PYRÉTHRINE,ABANTO 40 EC,EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL,PYRÉTHRINE,PYRÉTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,INDUSTRIAS AFRAZA ALBAUGH EUROPE
CHLORANTRANILIPROLE +METHOXYFENOZIDE,ABSOLUT SC,STEC,NANJING AGROCHEMICAL CHINE,CHLORANTRANILIPROLE,CHLORANTRANILIPROLE,METHOXYFENOZIDE,METHOXYFENOZIDE,N/A,N/A,N/A,N/A,STEC,NANJING CHINE
CYPROCONAZOLE + PICOXYSTROBINE,ACANTO PLUS,SEPCM,DU PONT INTERNATIONAL,CYPROCONAZOLE,CYPROCONAZOLE,PICOXYSTROBINE,PICOXYSTROBINE,N/A,N/A,N/A,N/A,SEPCM,DU PONT INTERNATIONAL
SPIRODICLOFEN,ACAROS SC,STEC,SHANDONG KANGQIAO NANJING AGROCHEMICAL,SPIRODICLOFEN,SPIRODICLOFEN,N/A,N/A,N/A,N/A,N/A,N/A,STEC,SHANDONG KANGQIAO NANJING
ACÉTAMEPRID,ACETADE FORT,SANABEL AGRO,SHARDA CROPCHEM,ACÉTAMEPRID,ACÉTAMEPRID,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,SHARDA CROPCHEM
DIMETHOMORPHE +MANCOZÈBE,ACROBAT MZ WG,COTUGRAIN IMPEX,BASF,DIMETHOMORPHE,DIMETHOMORPHE,MANCOZÈBE,MANCOZÈBE,N/A,N/A,N/A,N/A,COTUGRAIN IMPEX,BASF
HEXYTHIAZOX,ACRUX SC,AGROSYSTEMES,ASCENZA AGRO,HEXYTHIAZOX,HEXYTHIAZOX,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,ASCENZA AGRO
PYRIMIPHOS METHYL,ACTELLIC,AGRIPROTEC,SYNGENTA,PYRIMIPHOS METHYL,PYRIMIPHOS METHYL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,SYNGENTA
DÉRIVVÉS D'ACIDES GRAS VÉGÉTAUX + HUILE DE PIN,ACTILANDE TM EC,SEPCM,ACTION PIN,DÉRIVVÉS D'ACIDES GRAS VÉGÉTAUX,DÉRIVVÉS D'ACIDES GRAS VÉGÉTAUX,HUILE DE PIN,HUILE DE PIN,N/A,N/A,N/A,N/A,SEPCM,ACTION PIN
ACLONIFEN,ACTION 60 SC,SHARDA CROPCHEM TUNISIA,SHARDA CROPCHEM LIMITED/,ACLONIFEN,ACLONIFEN,N/A,N/A,N/A,N/A,N/A,N/A,SHARDA CROPCHEM,SHARDA CROPCHEM
ABAMECTINE,ACTROSE 18 EC,ETS MEZGHANI,ASTRACHEM,ABAMECTINE,ABAMECTINE,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,ASTRACHEM
EPOXICONAZOLE+FLUXAPYROXAD(XEMIUM),ADEXAR XTRA EC,STIMA,BASF,EPOXICONAZOLE,EPOXICONAZOLE,FLUXAPYROXAD (XEMIUM),FLUXAPYROXAD (XEMIUM),N/A,N/A,N/A,N/A,STIMA,BASF
LINURON,AFALON 50 L SC,SEPCM,AAKO BV,LINURON,LINURON,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,AAKO BV
GLYPHOSATE +CARFENTRAZONE-ETHYL,AFFINEX,COTUGRAIN IMPEX,FMC,GLYPHOSATE,GLYPHOSATE,CARFENTRAZONE-ETHYL,CARFENTRAZONE-ETHYL,N/A,N/A,N/A,N/A,COTUGRAIN IMPEX,FMC
OXYCHLORURE DE CUIVRE + MANCOZÈBE,AFROSAN DUPLO,EL KHADRA,AFRASA,OXYCHLORURE DE CUIVRE,OXYCHLORURE DE CUIVRE,MANCOZÈBE,MANCOZÈBE,N/A,N/A,N/A,N/A,EL KHADRA,AFRASA
CYMOXANIL + MANCOZEBE,AGREZATE PLUS WP,SOCOOPEC,AGRIA,CYMOXANIL,CYMOXANIL,MANCOZEBE,MANCOZEBE,N/A,N/A,N/A,N/A,SOCOOPEC,AGRIA
GLYPHOSATE,AGRIATECH,AGROSYSTEMES,AGRIA SA,GLYPHOSATE,GLYPHOSATE,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,AGRIA SA
DINOCAP MEPTYL + MYCLOBUTANIL,AGRIKAR STAR,ATLAS AGRICOLE,DOW AGROSCIENCES,DINOCAP MEPTYL,DINOCAP MEPTYL,MYCLOBUTANIL,MYCLOBUTANIL,N/A,N/A,N/A,N/A,ATLAS,DOW AGROSCIENCES
ABAMECTINE,AGRIMEC GOLD 084 SC,BIOPROTECTION,SYNGENTA,ABAMECTINE,ABAMECTINE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
THIOPHANATE-MÉTHYL,AGRIPHANATE,AGRIPROTEC,MEGHMANI INDUSTRIES,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,MEGHMANI INDUSTRIES
OXYCHLORURE DE CUIVRE,AGROCUIVRE,AGROSYSTEMES,SPEISS,OXYCHLORURE DE CUIVRE,OXYCHLORURE DE CUIVRE,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,SPEISS
HUILE DE PARAFFINIQUE,AGROIL BLEU EC,PROMOCHIMIE,SIPCAM INAGRA,HUILE DE PARAFFINIQUE,HUILE DE PARAFFINIQUE,N/A,N/A,N/A,N/A,N/A,N/A,PROMOCHIMIE,SIPCAM INAGRA
SOUFRE,AGROSOUFRE,AGROSYSTEMES,AGROSTULLNGMBH,SOUFRE,SOUFRE,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,AGROSTULLNGMBH
CUIVRE MÉTAL,AIRONE,AGRIMATCO,ISAGRO/DISTRIBUTE PAR FRARIMPEX GOWAN CROP,CUIVRE MÉTAL,CUIVRE MÉTAL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIMATCO,ISAGRO DISTRIBUTE PAR FRARIMPEX GOWAN
CHLORPYRIPHOSETHYL,AKOCID 480 EC,STEC,AAKO,CHLORPYRIPHOSETHYL,CHLORPYRIPHOSETHYL,N/A,N/A,N/A,N/A,N/A,N/A,STEC,AAKO
CLÉTHODIME,AKODIM 120 EC,SEPCM,AAKO,CLÉTHODIME,CLÉTHODIME,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,AAKO
CAPTANE,AKOTAN 830 WP,SEPCM,AAKO,CAPTANE,CAPTANE,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,AAKO
METALDEHYDE,ALDEM 3% GR,AGRONOMIC LAND,SHARDA,METALDEHYDE,METALDEHYDE,N/A,N/A,N/A,N/A,N/A,N/A,AGRONOMIC LAND,SHARDA
METALDEHYDE,ALDEM 3% GR,EXCEL AGRI,SHARDA CROPCHEM LIMITED INDE,METALDEHYDE,METALDEHYDE,N/A,N/A,N/A,N/A,N/A,N/A,EXCEL AGRI,SHARDA CROPCHEM INDE
FOSÉTHYL-AL,ALIAL,AGRIPROTEC,PROPLAN,FOSÉTHYL-AL,FOSÉTHYL-AL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,PROPLAN
FOSÉTHYL-AL,ALIETTE EXPRESS,SEPCM,BAYER CROPSCIENCE,FOSÉTHYL-AL,FOSÉTHYL-AL,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,BAYER CROPSCIENCE
THIAMETHOXAM + LAMBDA-CYHALOTHRINE,ALIKA 247 ZC,COTUGRAIN IMPEX,SYNGENTA,THIAMETHOXAM,THIAMETHOXAM,LAMBDA-CYHALOTHRINE,LAMBDA-CYHALOTHRINE,N/A,N/A,N/A,N/A,COTUGRAIN IMPEX,SYNGENTA
INDAZIFLAM,ALION 500 SC,PROMOCHIMIE,BAYER,INDAZIFLAM,INDAZIFLAM,N/A,N/A,N/A,N/A,N/A,N/A,PROMOCHIMIE,BAYER
EPOXICONAZOLE + KRESOXIM-METHYL,ALLEGRO,AGRIMATCO,BASF,EPOXICONAZOLE,EPOXICONAZOLE,KRESOXIM-METHYL,KRESOXIM-METHYL,N/A,N/A,N/A,N/A,AGRIMATCO,BASF
LAMBDA-CYHALOTHRINE,ALLEYA ME,EL KHADRA,AUGUST INC/CORPORATE,LAMBDA-CYHALOTHRINE,LAMBDA-CYHALOTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,AUGUST CORPORATE
KRÉSOXIM-MÉTHYL,ALLIAGE DF,AGRIMATCO,BASF,KRÉSOXIM-MÉTHYL,KRÉSOXIM-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIMATCO,BASF
DIFLUFENICAN + METSULFURON-MÉTHYL,ALLIANCE,BIOPROTECTION,NUFARM S.A,DIFLUFENICAN,DIFLUFENICAN,METSULFURON-MÉTHYL,METSULFURON-MÉTHYL,N/A,N/A,N/A,N/A,BIOPROTECTION,NUFARM S A
AZOXYSTROBINE + DIFENOCONAZOLE,ALLIANCE TOP SC,AGRI PLUS,NANJING AGROCHEMICAL,AZOXYSTROBINE,AZOXYSTROBINE,DIFENOCONAZOLE,DIFENOCONAZOLE,N/A,N/A,N/A,N/A,AGRI PLUS,NANJING
ALPHACYPERMETHRINE,ALLIGATOR,SSCC,GHARDA CHEMICALS LTD,ALPHACYPERMETHRINE,ALPHACYPERMETHRINE,N/A,N/A,N/A,N/A,N/A,N/A,SSCC,GHARDA
FOSETYL –AL,ALLUM WG,EL MOUSSEM AGRICOLE,NUFARM,FOSETYL –AL,FOSETYL –AL,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,NUFARM
TRIFLUMURON,ALSYSTIN 480 SC,PROMOCHIMIE,BAYER CROPSCIENCE,TRIFLUMURON,TRIFLUMURON,N/A,N/A,N/A,N/A,N/A,N/A,PROMOCHIMIE,BAYER CROPSCIENCE
CHLORANTRANILIPROLE,ALTACOR 35 WG,AGRIPROTEC,FMC,CHLORANTRANILIPROLE,CHLORANTRANILIPROLE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,FMC
PROPICONAZOLE + CYPROCONAZOLE,ALTO SUPER,BIOPROTECTION,SYNGENTA,PROPICONAZOLE,PROPICONAZOLE,CYPROCONAZOLE,CYPROCONAZOLE,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
FOSETYL –AL,ALU-VITE WP,TASMID,LIMIN CHEMICAL CO.LTD,FOSETYL –AL,FOSETYL –AL,N/A,N/A,N/A,N/A,N/A,N/A,TASMID,LIMIN
SULFATE DE CUIVRE TRIBASIQUE + ZOXAMIDE,AMALINE FLOW,EL MOUSSEM AGRICOLE,NUFARM,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,ZOXAMIDE,ZOXAMIDE,N/A,N/A,N/A,N/A,EL MOUSSEM,NUFARM
"2,4-D SEL DE DIMETHYLAMINE",AMANORA,AGRIMATCO,UPL,"2,4-D SEL DE DIMETHYLAMINE","2,4-D SEL DE DIMETHYLAMINE",N/A,N/A,N/A,N/A,N/A,N/A,AGRIMATCO,UPL
MÉSOSULFURON-MÉTHYL(MESOMAX) +IODOSULFURON +MÉFENPYRDIÉTHYL,AMILCAR,STEC,BAYER CROPSCIENCE,MÉSOSULFURON-MÉTHYL(MESOMAX),MÉSOSULFURON-MÉTHYL(MESOMAX),IODOSULFURON,IODOSULFURON,MÉFENPYRDIÉTHYL,MÉFENPYRDIÉTHYL,N/A,N/A,STEC,BAYER CROPSCIENCE
MÉSOSULFURON-MÉTHYL+IODOSULFURON – MÉTHYL SODIUM + MÉFENPYRDIÉTHYL (SAFENER),AMILCAR OD,STEC,BAYER CROPSCIENCE,MÉSOSULFURON-MÉTHYL,MÉSOSULFURON-MÉTHYL,IODOSULFURON – MÉTHYL SODIUM,IODOSULFURON – MÉTHYL SODIUM,MÉFENPYRDIÉTHYL (SAFENER),MÉFENPYRDIÉTHYL (SAFENER),N/A,N/A,STEC,BAYER CROPSCIENCE
ACIDE GIBBERELLIQUE,AMINOGIBB,AMINCO,GLOBACHEM,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,N/A,N/A,N/A,N/A,N/A,N/A,AMINCO,GLOBACHEM
MANIPROPAMIDE +ZOXAMID,AMPEXIO WG,BIOPROTECTION,SYNGENTA,MANIPROPAMIDE,MANIPROPAMIDE,ZOXAMID,ZOXAMID,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
MANDIPROPAMIDE + MANCOZEBE,AMPHORE GOLD WG,SOLAGRI,SYNGENTA,MANDIPROPAMIDE,MANDIPROPAMIDE,MANCOZEBE,MANCOZEBE,N/A,N/A,N/A,N/A,SOLAGRI,SYNGENTA
MANDIPROPAMIDE,AMPHORE SC,SOLAGRI,SYNGENTA,MANDIPROPAMIDE,MANDIPROPAMIDE,N/A,N/A,N/A,N/A,N/A,N/A,SOLAGRI,SYNGENTA
FOSETHYL-AL + CYMOXANIL + FOLPEL,ANTEOR FLASH,ATLAS AGRICOLE,BAYER AG,FOSETHYL-AL,FOSETHYL-AL,CYMOXANIL,CYMOXANIL,FOLPEL,FOLPEL,N/A,N/A,ATLAS,BAYER AG
MÉTALDÉHYDE,ANTILIMACE GRANULE,SEPCM,CEQUISA S.A,MÉTALDÉHYDE,MÉTALDÉHYDE,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,CEQUISA S A
PROPINÈBE,ANTRACOL,PROMOCHIMIE,BAYER CROPSCIENCE,PROPINÈBE,PROPINÈBE,N/A,N/A,N/A,N/A,N/A,N/A,PROMOCHIMIE,BAYER CROPSCIENCE
CLOFENTEZINE,APOLLO 50,STEC,AAKO BV,CLOFENTEZINE,CLOFENTEZINE,N/A,N/A,N/A,N/A,N/A,N/A,STEC,AAKO BV
IPRODIONE,APRODONE,LIEN AGRICOLE,SHARDA,IPRODIONE,IPRODIONE,N/A,N/A,N/A,N/A,N/A,N/A,LIEN,SHARDA
DIFENOCONAZOLE + METALAXYL –M + THIAMETHOXAM,APRON STAR WS,COTUGRAIN,SYNGENTA,DIFENOCONAZOLE,DIFENOCONAZOLE,METALAXYL –M,METALAXYL –M,THIAMETHOXAM,THIAMETHOXAM,N/A,N/A,COTUGRAIN,SYNGENTA
TEPRALOXYDIM,ARAMO 50 EC,COTUGRAIN IMPEX,BASF,TEPRALOXYDIM,TEPRALOXYDIM,N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN IMPEX,BASF
KRÉSOXIM-MÉTHYL,ARIANE WG,FERTITECH,HANGZHOU TOPAGRO BIOSCIENCE/CHINE,KRÉSOXIM-MÉTHYL,KRÉSOXIM-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,FERTITECH,HANGZHOU TOPAGRO BIOSCIENCE CHINE
CHLOROTHALONIL + METALAXYL –M,ARIS GOLD,COTUGRAIN IMPEX,SYNGENTA,CHLOROTHALONIL,CHLOROTHALONIL,METALAXYL –M,METALAXYL –M,N/A,N/A,N/A,N/A,COTUGRAIN IMPEX,SYNGENTA
CUIVRE+ MÉTALAXYL,ARMETIL CUIVRE,SOCOOPEC,IQV DEL VALLES,CUIVRE,CUIVRE,MÉTALAXYL,MÉTALAXYL,N/A,N/A,N/A,N/A,SOCOOPEC,IQV DEL VALLES
CYPRODINIL,ARNATIN WG,SOLAGRI,SYNGENTA,CYPRODINIL,CYPRODINIL,N/A,N/A,N/A,N/A,N/A,N/A,SOLAGRI,SYNGENTA
SPIRODICLOFEN,ASKARI 240 SC,SEPCM,AAKO,SPIRODICLOFEN,SPIRODICLOFEN,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,AAKO
AZOXYSTROBINE,ASTRO EC,TASMID,ZHEJIANG E-TONG CHEMICAL,AZOXYSTROBINE,AZOXYSTROBINE,N/A,N/A,N/A,N/A,N/A,N/A,TASMID,ZHEJIANG E TONG
CYPROCONAZOLE,ATEMI 10 WG,AGRIPROTEC,SYNGENTA CROP PROTECTION,CYPROCONAZOLE,CYPROCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,SYNGENTA
IODOSULFURON +MESOSULFURON +MEFENPYR,ATLANTIS,ATLAS AGRICOLE,BAYER CROPSCIENCE,IODOSULFURON,IODOSULFURON,MESOSULFURON,MESOSULFURON,MEFENPYR,MEFENPYR,N/A,N/A,ATLAS,BAYER CROPSCIENCE
MÉSOSULFURON-MÉTHYL+IODOSULFURON-METHYL +MÉFENPYRDIÉTHYL,ATLANTIS OD,ATLAS AGRICOLE,BAYER CROPSCIENCE,MÉSOSULFURON-MÉTHYL,MÉSOSULFURON-MÉTHYL,IODOSULFURON-METHYL,IODOSULFURON-METHYL,MÉFENPYRDIÉTHYL,MÉFENPYRDIÉTHYL,N/A,N/A,ATLAS,BAYER CROPSCIENCE
PROPOXYCARBAZON SODIUM,ATTRIBUT 70 SG,EL MOUSSEM AGRICOLE,BAYER CROPSCIENCE,PROPOXYCARBAZON SODIUM,PROPOXYCARBAZON SODIUM,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,BAYER CROPSCIENCE
THIOPHANATE-MÉTHYL,AURIGE 70,EL KHADRHA,SIPCAM INAGRA,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRHA,SIPCAM INAGRA
CHLOROTHALONIL L +DIMETHOMOPHE,AVANTAGE CT,SANABEL AGRO,ROTAM AGROCHEMICALS,CHLOROTHALONIL L,CHLOROTHALONIL L,DIMETHOMOPHE,DIMETHOMOPHE,N/A,N/A,N/A,N/A,SANABEL AGRO,ROTAM
INDOXACARBE,AVAUNT,SEPCM,DU PONT/FMC,INDOXACARBE,INDOXACARBE,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,DU PONT FMC
CYMOXANIL + MÉTIRAME DE ZINC,AVISO DF,STIMA,BASF,CYMOXANIL,CYMOXANIL,MÉTIRAME DE ZINC,MÉTIRAME DE ZINC,N/A,N/A,N/A,N/A,STIMA,BASF
PINOXADEN + CLOQUINTOCET-MÉXYL,AXIAL PRATIC,BIOPROTECTION,SYNGENTA,PINOXADEN,PINOXADEN,CLOQUINTOCET-MÉXYL,CLOQUINTOCET-MÉXYL,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
AZOXYSTROBINE,AXYTOP 50WG,EXCEL AGRI,SHARDA CROPCHEM INDE,AZOXYSTROBINE,AZOXYSTROBINE,N/A,N/A,N/A,N/A,N/A,N/A,EXCEL AGRI,SHARDA CROPCHEM INDE
AZOXYSTROBINE + DIFÉNOCONAZOLE,AZ-TOP,SLDA,SHARDA CROPCHEM LIMITED,AZOXYSTROBINE,AZOXYSTROBINE,DIFÉNOCONAZOLE,DIFÉNOCONAZOLE,N/A,N/A,N/A,N/A,SLDA,SHARDA CROPCHEM
AZOXYSTROBINE,AZOX SC,ETS MEZGHANNI,"JIANGYIN SULI CHEMICAL CO.LTDI,Q,KEY",AZOXYSTROBINE,AZOXYSTROBINE,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANNI,JIANGYIN SULI LTDI Q KEY
TÉBUCONAZOLE,AZUROS,SLDA,SHARDA CROPCHEM,TÉBUCONAZOLE,TÉBUCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,SLDA,SHARDA CROPCHEM
ACIDE GIBBERELLIQUE,B 40 SG,BIOPROTECTION,VALENTBIOSCIENCE / SUMITOMO,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,VALENTBIOSCIENCE SUMITOMO
"BACILLUS THURINGIENSIS (SPKURSTAKI),SOUCHE ABTS-351",BACTOSPINE DF,SEPCM,VALENT BIOSCIENCE CORPORATION/SUMITOMO CHEMICAL,"BACILLUS THURINGIENSIS (SPKURSTAKI),SOUCHE ABTS-351","BACILLUS THURINGIENSIS (SPKURSTAKI),SOUCHE ABTS-351",N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,VALENT BIOSCIENCE CORPORATION SUMITOMO
CHLOROTHALONIL,BANKO 720 SC,BIOPROTECTION,ARYSTA LIFESCIENCE,CHLOROTHALONIL,CHLOROTHALONIL,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,ARYSTA LIFESCIENCE
PROPICONAZOLE,BANNER EC,AGRIPLUS,HEBEI VEYONG BIO- CHEMICAL CO.LTD,PROPICONAZOLE,PROPICONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPLUS,HEBEI VEYONG BIO
BENTAZONE,BASAGRAN,STIMA,BASF,BENTAZONE,BENTAZONE,N/A,N/A,N/A,N/A,N/A,N/A,STIMA,BASF
BENTAZONE,BASASTAR SL,AGRIPLUS,"NANJING FENGSHAN CHEMICAL GROUP CO,LTD",BENTAZONE,BENTAZONE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPLUS,NANJING FENGSHAN GROUP
CYMOXANIL + MÉTIRAME DE ZINC,BATO,AGRIMATCO,BASF,CYMOXANIL,CYMOXANIL,MÉTIRAME DE ZINC,MÉTIRAME DE ZINC,N/A,N/A,N/A,N/A,AGRIMATCO,BASF
PYRACLOSTROBINE,BAUXIT,STIMA,BASF,PYRACLOSTROBINE,PYRACLOSTROBINE,N/A,N/A,N/A,N/A,N/A,N/A,STIMA,BASF
BEAUVERIA BASSIANA STRAIN R444,BB-PROTEC WP,ALOHA AGRICULTURE,PLANT HEALTH PRODUCTS (PHY)/ANDERMATT PHP(PTY) LTD/ANDERMATT BIOCONTROL GROUP AG,BEAUVERIA BASSIANA STRAIN R444,BEAUVERIA BASSIANA STRAIN R444,N/A,N/A,N/A,N/A,N/A,N/A,ALOHA,PLANT HEALTH PRODUCTS PHY SUD D AFRIQUE ANDERMATT PHP PTY ANDERMATT BIOCONTROL GROUP AG
CYPERMETHRINE,BELEM 0.8 MG,SEPCM,SBM FORMULATION/ CMPA,CYPERMETHRINE,CYPERMETHRINE,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,SBM FORMULATION CMPA
FOSETHYL-AL + CYMOXANIL + FOLPEL,BELKAP EXTRA,AGROSYSTEMES,PROBELTE,FOSETHYL-AL,FOSETHYL-AL,CYMOXANIL,CYMOXANIL,FOLPEL,FOLPEL,N/A,N/A,AGROSYSTEMES,PROBELTE
CHINOZOLE,BELTANOL-L,AGRIPROTEC,PROBELTE,CHINOZOLE,CHINOZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,PROBELTE
BACILLUS THURINGIENSIS,BELTHIRUL 16SC,AGRIPROTEC,PROBLETE,BACILLUS THURINGIENSIS,BACILLUS THURINGIENSIS,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,PROBLETE
THIABENDAZOLE,BENAZOLE,EXCEL AGRI,SHARDA CROPCHEM,THIABENDAZOLE,THIABENDAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,EXCEL AGRI,SHARDA CROPCHEM
CYANTRANILIPROLE,BENEVIA,AGRIMATCO,DU PONT,CYANTRANILIPROLE,CYANTRANILIPROLE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIMATCO,DU PONT
FLUAZIFOP-P-BUTYL,BENFURON,AGRIMED DISTRIBUTION,SHARDA CROPCHEM LIMITED INDE,FLUAZIFOP-P-BUTYL,FLUAZIFOP-P-BUTYL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIMED DISTRIBUTION,SHARDA CROPCHEM INDE
BENTAZONE,BENHUR SL,PROTAGRI,NANJING AGROCHEMICAL,BENTAZONE,BENTAZONE,N/A,N/A,N/A,N/A,N/A,N/A,PROTAGRI,NANJING
BENTAZONE,BENTA SL,EL KHADRA,"NANJING FENGSHAN CHEMICAL GROUP CO,LTD/NANGIN G FENGSHAN",BENTAZONE,BENTAZONE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,NANJING FENGSHAN GROUP NANGIN G FENGSHAN
BENTAZONE,BENTAPROTEKT SL,LIEN AGRICOLE,ANHUI ZHONGSHAN CHEMICAL(FABRIQUÉ)/CHINE(PROTEKTINGPHYTOSANITARY/ESPAGNE(DIST),BENTAZONE,BENTAZONE,N/A,N/A,N/A,N/A,N/A,N/A,LIEN,ANHUI ZHONGSHAN FABRIQUE CHINE PROTEKTINGPHYTOSANITARY ESPAGNE DIST
ACIDE GIBBERELLIQUE,BERELEX 40 SG,SEPCM,CHEMICAL AGRO EUROPE,ACIDE GIBBERELLIQUE,ACIDE GIBBERELLIQUE,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,AGRO EUROPE
CHLORANTRANILIPROLE + LAMBDACYHALOTHRINE,BESIEGE 150 ZC,COTUGRAIN IMPEX,SYNGENTA,CHLORANTRANILIPROLE,CHLORANTRANILIPROLE,LAMBDACYHALOTHRINE,LAMBDACYHALOTHRINE,N/A,N/A,N/A,N/A,COTUGRAIN IMPEX,SYNGENTA
PHENMEDIPHAM + DESMEDOPHAM +ETHOFUMESATE,BETASANA TRIO,AGRIPROTEC,UPL LIMITED,PHENMEDIPHAM,PHENMEDIPHAM,DESMEDOPHAM,DESMEDOPHAM,ETHOFUMESATE,ETHOFUMESATE,N/A,N/A,AGRIPROTEC,UPL
PROTEINES HYDROLYSÉES,BIOBAIT,BIOPROTECTION,BIOIBIRICA,PROTEINES HYDROLYSÉES,PROTEINES HYDROLYSÉES,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,BIOIBIRICA
ACIBENZOLAR-S- METHYL,BION 50 WG,AGRIPROTEC,SYNGENTA,ACIBENZOLAR-S- METHYL,ACIBENZOLAR-S- METHYL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,SYNGENTA
SODIUM LAURYL ETHER SULFATE (SLES),BIOPOWER SL,ATLAS AGRICOLE,BAYER AG,SODIUM LAURYL ETHER SULFATE (SLES),SODIUM LAURYL ETHER SULFATE (SLES),N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,BAYER AG
AZOXYSTROBINE + DIFENOCONAZOLE,BLACK PANTHER SC,FERTITECH,HANGZHOU TOPAGRO BIOSCIENCE,AZOXYSTROBINE,AZOXYSTROBINE,DIFENOCONAZOLE,DIFENOCONAZOLE,N/A,N/A,N/A,N/A,FERTITECH,HANGZHOU TOPAGRO BIOSCIENCE
GLYPHOSATE,BLANCA,COTUGRAIN IMPEX,SHARDA WORLD WIDE,GLYPHOSATE,GLYPHOSATE,N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN IMPEX,SHARDA WORLD WIDE
"2,4-D SEL DE DIMETHYLAMINE",BLITZ 720 SL,EL KHADRA,"JIANGSU FENGSHAN GROUP CO,LTD/NANJING FENGSHAN CHEMICAL","2,4-D SEL DE DIMETHYLAMINE","2,4-D SEL DE DIMETHYLAMINE",N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,JIANGSU FENGSHAN GROUP NANJING FENGSHAN
